"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","BC.extinction.rate.PBDB3","BC.extinction.rate.max","BC.extinction.ratePBDB.max","BC.extinction.rate.PBDB3.max","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals","mean_d13C.prok","stdev_d13C.prok","N_d13C.prok","mean_d18O.prok","stdev_d18O.prok","N_d18O.prok","mean_d34S.prok","stdev_d34S.prok","N_d34S.prok","mean_87Sr.86Sr.prok","stdev_87Sr.86Sr.prok","N_87Sr.86Sr.prok","mean_d13C.detrended.prok","mean_d18O.detrended.prok","mean_d34S.detrended.prok","Volcanism","Flood_basalt","Bolide","OA"
161.2,164.7,"Callovian","Middle Jurassic","Jurassic",53,-1.2442,0.72484,0.70688,16.615,0.1,0.046,0.109,0.1,0.046,0.109,2.01319801980198,1.53511350733294,101,-0.363852941176471,0.725237078301806,102,-4.92833333333333,5.826837829,0.715384615,0.769541375,39,-1.270034872,0.542829887,39,16.075,0.330403793,4,0.706887144,0.000119673,28,-1.3468160290669,0.927807562307018,-3.30653005559711,0,0,0,0
164.7,167.7,"Bathonian","Middle Jurassic","Jurassic",95,-2.3876,1.1119,0.70711,17.124,0.012,0.005,0.018,0.012,0.005,0.018,1.74359183673469,1.20192774571189,98,-0.239060606060606,1.2136507736458,99,-2.194,3.897968084,1.156363636,0.876952367,11,-2.382098182,0.972786489,11,19.05,2.333452378,2,0.707096875,0.000103299,8,-0.898221754280777,-0.142822342805116,-0.366828824056249,0,0,0,0
167.7,171.6,"Bajocian","Middle Jurassic","Jurassic",75,-2.3876,1.1119,0.70718,17.42,0.013,0.005,0.023,0.013,0.005,0.023,0.817931034482759,1.05073534588408,58,-0.220338983050847,1.31251005395387,59,-2.87633333333333,1.24665410966667,NA,NA,0,NA,NA,0,17.1,1.734935157,3,0.707183083,9.76e-05,12,NA,NA,-2.34708491130694,0,0,0,0
171.6,175.6,"Aalenian","Middle Jurassic","Jurassic",43,-1.2017,1.6177,0.70729,17.689,0.035,0.037,0.037,0.035,0.037,0.037,0.634,0.713523339180685,10,-0.543,0.735255813381378,10,-2.03066666666667,-0.542523309666667,NA,NA,0,NA,NA,0,17.9,NA,1,0.707294,8.76e-06,6,NA,NA,-1.58641782473285,0,0,0,0
175.6,183,"Toarcian","Early Jurassic","Jurassic",264,-1.2017,1.6177,0.70726,17.6785,0.054,0.05,0.044,0.054,0.05,0.044,1.38879906542056,1.14032261652288,112,-1.51173584905661,0.902719643554949,111,-3.34,-3.627970567,1.645882353,0.479088442,17,-1.206647059,0.794757741,17,20.73333333,3.189566324,3,0.707231703,9.12e-05,37,-0.384986961203984,1.16166424113138,1.20657405559956,0,0,0,1
183,189.5,"Pliensbachian","Early Jurassic","Jurassic",538,-0.83032,0.40167,0.70725,17.548,0.065,0.077,0.073,0.065,0.077,0.073,1.62921787709497,0.917916823551847,179,-1.19560606060606,0.92480167723269,330,-5.70333333333333,-9.09659388366667,0.420816327,1.145525419,49,-0.822222222,1.388485418,63,15.8,2.121320344,2,0.707244861,8.08e-05,72,-1.59395216491332,1.63369113418001,-3.80139095628549,1,1,0,1
189.5,196.5,"Sinemurian","Early Jurassic","Jurassic",389.5,-0.32834,-0.276305,0.707385,17.546,0.0535,0.0505,0.058,0.065,0.0505,0.073,1.34881183709821,1.10408757302765,124,-1.19205536675163,0.769509850466509,218.5,-6.44416666666667,-15.3748933073333,-0.97,0.321014018,9,0.205555556,0.485698237,9,14.95,1.060660172,2,0.707520903,0.000120144,62,-2.97062587773908,2.73841666411461,-4.71694581199533,0,0,0,0
196.5,199.6,"Hettangian","Early Jurassic","Jurassic",178,-1.3805,1.1712,0.70776,17.911,0.026,0.02,0.0345,0.026,0.02,0.043,1.43333333333333,1.28652691971506,12,-2.0875,0.972374086263288,12,-0.243,-15.536795878,NA,NA,0,NA,NA,0,NA,NA,0,0.70775776,3.21e-05,25,NA,NA,NA,0,0,0,1
199.6,203.6,"Rhaetian","Late Triassic","Triassic",376,-1.769,1.7026,0.70786,17.993,0.121,0.124,0.1285,0.216,0.124,0.231,1.67536585365854,0.57520038926002,41,-1.77951219512195,0.588336431047374,41,7.098,-13.346887127,1.641612903,0.521964857,31,-1.739032258,0.600140844,31,17.7,9.333809512,2,0.707744261,5.69e-05,22,-0.337037528099118,0.913393818505309,-2.068807972406,1,1,0,0
203.6,216.5,"Norian","Late Triassic","Triassic",376,-1.769,1.7026,0.70786,17.993,0.136,0.105,0.204,0.136,0.105,0.231,1.67536585365854,0.57520038926002,41,-1.77951219512195,0.588336431047374,41,7.36666666666667,-8.245410193,3.48,NA,1,-2,NA,1,18.31666667,0.716705425,6,0.707960025,0.000154616,29,1.51005271608503,0.699778539234297,-1.49248275207359,1,0,1,0
216.5,228,"Carnian","Late Triassic","Triassic",196,-2.5599,3.0593,0.70765,19.083,0.136,0.105,0.18,0.136,0.105,0.183,3.48,NA,1,-2,NA,1,4.10083333333333,-4.39154670066667,3.053421053,0.683212904,38,-2.543157895,1.068237005,38,18.675,0.75,4,0.707647753,5.41e-05,47,1.11154141875389,0.309332336535286,-1.26425059725158,0,0,0,0
228,237,"Ladinian","Middle Triassic","Triassic",120,-3.1567,1.917205,0.70768,19.9115,0.104666666666667,0.0696666666666667,0.119,0.153,0.0696666666666667,0.183,3.25769230769231,NA,20,-2.26487179487179,NA,20,-2.82033333333333,-7.631601336,0.745217391,0.579975466,23,-3.906086957,1.729450094,23,20.83333333,4.574203027,3,0.707710666,6.59e-05,31,-1.17164069509169,-0.917458395118872,0.778101064954089,1,1,0,0
237,245,"Anisian","Middle Triassic","Triassic",218,-4.3096,0.83828,0.70788,21.091,0.044,0.04,0.057,0.063,0.04,0.059,0.741794871794872,0.643051409072285,39,-4.01923076923077,1.63297820370181,39,-8.444,-16.5679444276667,0.840555556,0.796517953,18,-4.059444444,1.518852013,18,22.3,5.074774215,4,0.707883419,0.000123472,26,-1.05672044892737,-0.964272840978648,2.15399947320201,0,0,0,0
