Binned_top,Binned_bottom,Binned_stage,Binned_epoch,Binned_period,mean_d13C,stdev_d13C,N_d13C,mean_d18O,stdev_d18O,N_d18O,mean_d34S,stdev_d34S,N_d34S,mean_87Sr.86Sr,stdev_87Sr.86Sr,N_87Sr.86Sr,data_subset
37.2,40.4,Bartonian,Middle Eocene,Paleogene,2.136904762,0.679445571,42,-0.108043478,0.829478068,46,22.28,0.229172424,6,0.707757444,4.46E-05,9,no benthics
40.4,48.6,Lutetian,Middle Eocene,Paleogene,2.193333333,0.85703501,75,-0.357529412,0.758004752,85,22.4,NA,1,0.707772667,6.08E-05,15,no benthics
48.6,55.8,Ypresian,Early Eocene,Paleogene,1.944135135,0.759512569,37,-1.124470588,0.821289775,51,19.332,1.520756756,10,0.70775,3.15E-05,11,no benthics
55.8,58.7,Thanetian,Late Paleocene,Paleogene,3.547645833,1.024532784,48,-1.051784314,0.511848115,51,17.52833333,0.307207856,6,0.707760333,5.11E-05,9,no benthics
58.7,61.7,Selandian,Middle Paleocene,Paleogene,2.496534884,0.974603957,43,-0.718555556,0.457864388,45,18.14111111,0.143539905,3,0.7077836,7.56E-05,5,no benthics
61.7,65.5,Danian,Early Paleocene,Paleogene,1.914867925,0.557062075,53,-0.656178571,0.33561342,56,18.970625,0.166571252,8,0.707846193,5.07E-05,57,no benthics
65.5,70.6,Maastrichtian,Late Cretaceous,Cretaceous,2.314095618,0.709600552,251,-0.710856574,0.722039957,251,18.59888889,1.216608446,9,0.70778438,6.87E-05,71,no benthics
70.6,83.5,Campanian,Late Cretaceous,Cretaceous,2.33680315,0.624204177,254,-1.434871595,1.110394885,257,18.656,0.54657113,15,0.707615,9.84E-05,90,no benthics
83.5,85.8,Santonian,Late Cretaceous,Cretaceous,2.47625,0.488847284,16,-2.462352941,1.097756402,17,17.66,0.895023277,4,0.707459818,7.00E-05,11,no benthics
85.8,89.3,Coniacian,Late Cretaceous,Cretaceous,2.286666667,0.714789346,15,-2.502666667,1.23883855,15,18.165,NA,1,0.707352333,2.72E-05,9,no benthics
89.3,93.5,Turonian,Late Cretaceous,Cretaceous,2.582962963,0.667716054,27,-2.130714286,0.963138883,28,18.85,0.278388218,3,0.707349565,0.000111389,23,no benthics
93.5,99.6,Cenomanian,Late Cretaceous,Cretaceous,2.720571429,1.112431008,77,-2.61025974,1.344238166,77,18.82714286,0.451948164,7,0.70743456,6.89E-05,25,no benthics
99.6,112,Albian,Early Cretaceous,Cretaceous,1.888032258,0.926006444,124,-1.722419355,1.038594556,124,15.77708333,0.663771792,12,0.707422641,5.60E-05,78,no benthics
112,125,Aptian,Early Cretaceous,Cretaceous,3.646666667,1.271987791,18,-0.63325,1.279224966,20,16.17928571,1.365935657,14,0.707299289,7.40E-05,21,no benthics
125,130,Barremian,Early Cretaceous,Cretaceous,1.005171717,0.902995876,99,-0.421474747,0.623756581,99,17.931,2.413261279,5,0.707475433,3.02E-05,45,no benthics
130,136.4,Hauterivian,Early Cretaceous,Cretaceous,0.89088854,0.703998194,91,0.237582298,0.425586527,92,16.79272727,1.514655676,11,0.707422829,3.13E-05,17,no benthics
136.4,140.2,Valanginian,Early Cretaceous,Cretaceous,0.128320513,1.017256349,78,-0.325102564,0.675931365,78,17.9,4.424025316,6,0.70733668,7.79E-05,18,no benthics
140.2,145.5,Berriasian,Early Cretaceous,Cretaceous,0.489735294,1.061726333,34,-1.091794118,1.023752361,34,13,NA,1,0.707293751,3.17E-05,4,no benthics
145.5,150.8,Tithonian,Late Jurassic,Jurassic,0.485852459,1.167217845,122,-1.290798387,0.778694269,124,NA,NA,0,0.707087266,0.000128809,74,no benthics
150.8,155.7,Kimmeridgian,Late Jurassic,Jurassic,1.442882353,1.227633391,34,-1.136452381,1.131800319,42,16,NA,1,0.706893779,7.37E-05,33,no benthics
155.7,161.2,Oxfordian,Late Jurassic,Jurassic,1.837680851,1.540305143,141,-0.3854,0.794065886,142,15.4,NA,1,0.706866871,3.47E-05,31,no benthics
161.2,164.7,Callovian,Middle Jurassic,Jurassic,1.724417582,1.17642022,91,-0.207493043,1.238566426,92,16.075,0.330403793,4,0.706887144,0.000119673,28,no benthics
164.7,167.7,Bathonian,Middle Jurassic,Jurassic,1.509444444,1.317088912,18,-1.447393333,1.577132365,18,19.05,2.333452378,2,0.707096875,0.000103299,8,no benthics
167.7,171.6,Bajocian,Middle Jurassic,Jurassic,0.1425,0.751509088,12,-0.383846154,0.669210212,13,17.1,1.734935157,3,0.707183083,9.76E-05,12,no benthics
171.6,175.6,Aalenian,Middle Jurassic,Jurassic,0.55,0.605923145,8,-0.29375,0.582750559,8,17.9,NA,1,0.707294,8.76E-06,6,no benthics
175.6,183,Toarcian,Early Jurassic,Jurassic,2.876107383,1.209163611,149,-2.324306122,1.307248871,147,20.73333333,3.189566324,3,0.707231703,9.12E-05,37,no benthics
183,189.5,Pliensbachian,Early Jurassic,Jurassic,1.291830986,1.25883579,142,-1.281870968,1.253093205,155,15.8,2.121320344,2,0.707244861,8.08E-05,72,no benthics
189.5,196.5,Sinemurian,Early Jurassic,Jurassic,1.152786885,1.548849176,61,-0.960655738,0.868864909,61,14.95,1.060660172,2,0.707520903,0.000120144,62,no benthics
196.5,199.6,Hettangian,Early Jurassic,Jurassic,1.608333333,0.779811555,12,-2.183333333,0.828013322,12,NA,NA,0,0.70775776,3.21E-05,25,no benthics
199.6,203.6,Rhaetian,Late Triassic,Triassic,1.641612903,0.521964857,31,-1.739032258,0.600140844,31,17.7,9.333809512,2,0.707744261,5.69E-05,22,no benthics
203.6,216.5,Norian,Late Triassic,Triassic,3.48,NA,1,-2,NA,1,18.31666667,0.716705425,6,0.707960025,0.000154616,29,no benthics
216.5,228,Carnian,Late Triassic,Triassic,3.053421053,0.683212904,38,-2.543157895,1.068237005,38,18.675,0.75,4,0.707647753,5.41E-05,47,no benthics
228,237,Ladinian,Middle Triassic,Triassic,0.745217391,0.579975466,23,-3.906086957,1.729450094,23,20.83333333,4.574203027,3,0.707710666,6.59E-05,31,no benthics
237,245,Anisian,Middle Triassic,Triassic,0.840555556,0.796517953,18,-4.059444444,1.518852013,18,22.3,5.074774215,4,0.707883419,0.000123472,26,no benthics
245,249.7,Olenikian,Early Triassic,Triassic,0.38,0.113137085,2,-7.53,0.664680374,2,26.35,0.070710678,2,0.708106698,0.000126885,14,no benthics
249.7,251,Induan,Early Triassic,Triassic,NA,NA,0,NA,NA,0,17.525,4.895150662,4,0.70767952,0.000319734,17,no benthics
251,253.8,Changhsingian,Lopingian,Permian,3.2365,1.441177424,20,-4.2615,2.124197124,20,NA,NA,0,0.707283194,0.000224576,14,no benthics
253.8,260.4,Wuchiapingian,Lopingian,Permian,3.617878788,0.841244456,33,-3.537878788,1.013545009,33,NA,NA,0,0.707206216,0.000206456,21,no benthics
