"Binned_top","Binned_bottom","Binned_stage","mean_d13C","stdev_d13C","d13C_N","mean_d18O","stdev_d18O","d18O_N","data_subset"
"120",260.4,268,"Wordian/Kazanian-Capitanian",4.66837837837838,1.32069113538142,37,-2.28972972972973,1.88321457809437,37,"Tropical"
"121",270.6,275.6,"Kungurian?",5.03079207920792,1.19946711765543,101,-1.1879797979798,1.53284115275775,99,"Tropical"
"122",284.4,294.6,"Sakmarian",4.28221153846154,1.20611142534635,104,-2.28,0.999272550942915,104,"Tropical"
"123",294.6,299,"Asselian?",4.76582677165354,0.871900351945126,127,-2.22165354330709,0.866372444361232,127,"Tropical"
"124",299,303.4,"Gzhelian?",4.29184210526316,1.0787247188678,114,-2.2090350877193,0.979673929227227,114,"Tropical"
"125",303.4,307.2,"Kasimovian?",4.02423868312757,1.11797356101076,486,-2.42711934156379,0.807890427241997,486,"Tropical"
"126",307.2,311.7,"Moscovian?",5.0834,1.33803363186431,150,-3.15235294117647,0.757584253353244,153,"Tropical"
"127",311.7,318.1,"Bashkirian",4.89266129032258,1.14638428329834,124,-2.47274193548387,1.77968771295008,124,"Tropical"
"128",318.1,328.3,"Serpukhovian?",3.05748148148148,1.86008705156074,405,-2.43948402948403,1.45818295023976,407,"Tropical"
"129",328.3,345.3,"Viséan?",2.63814207650273,1.50105327094834,366,-4.02369863013699,2.38172270442947,365,"Tropical"
"130",345.3,359.2,"Tournaisian?",2.77743315508021,1.75419400343592,187,-3.69379679144385,2.07091378235989,187,"Tropical"
"131",359.2,374.5,"Famennian",0.709491525423729,0.900031462532079,59,-6.42694915254237,1.31663659039352,59,"Tropical"
"132",374.5,385.3,"Frasnian",0.734123456790123,1.1784210927548,405,-5.39355555555556,1.30502539712019,405,"Tropical"
"133",385.3,391.8,"Givetian",1.71314814814815,0.873703511893262,54,-3.78574074074074,1.5196792137318,54,"Tropical"
"134",391.8,397.5,"Eifelian",0.584247311827957,0.823226823767978,186,-5.36768817204301,1.57058554395689,186,"Tropical"
"135",397.5,407,"Emsian",-0.035,1.16660920064391,38,-5.20763157894737,2.06278666700423,38,"Tropical"
"136",407,411.2,"Pragian",1.59794117647059,0.410075967919653,34,-4.25558823529412,0.98693953385897,34,"Tropical"
"137",411.2,416,"Lochkovian",1.71703703703704,1.00739502150087,27,-6.79185185185185,1.78830180948948,27,"Tropical"
"138",416,418.7,"Pridoli",2.405,0.983830382851751,28,-4.07607142857143,0.779502877127298,28,"Tropical"
"139",418.7,422.9,"Gorstian-Ludfordian",0.371333333333333,1.56172922138236,30,-5.50560975609756,1.01199320348629,41,"Tropical"
"140",422.9,428.2,"Sheinwoodian/Tonawandan-Homerian/Lockportian",2.32005167958656,2.522203884018,387,-4.8249354005168,1.18720889356338,387,"Tropical"
"141",428.2,436,"Telychian/Ontarian",1.69405701754386,1.88176278971125,456,-4.72899122807018,0.675561363583531,456,"Tropical"
"142",436,439,"Aeronian?",1.1756,0.667420906674841,25,-4.898,0.542878132426299,25,"Tropical"
"143",439,443.7,"Rhuddanian?",1.1242,1.09563156700245,50,-4.2398,0.607697192317868,50,"Tropical"
"144",443.7,445.6,"Hirnantian",2.00776470588235,2.19892409219691,170,-3.88817647058824,1.21380455887074,170,"Tropical"
"145",445.6,455.8,"Katian 1?",0.0508724832214765,0.75489746295477,149,-5.06574324324324,0.761674749104513,148,"Tropical"
"146",455.8,460.9,"Sandbian II?",-0.685833333333333,0.459039676109184,12,-5.20666666666667,0.744242547626088,12,"Tropical"
"147",460.9,468.1,"Darriwilian?",-0.539411764705882,0.783898343658622,34,-7.02235294117647,1.03282800593302,34,"Tropical"
"148",468.1,471.8,"Dapingian?",-1.34589285714286,0.87299646315167,56,-7.02821428571429,0.943080266790897,56,"Tropical"
"149",471.8,478.6,"Floian",-1.15641025641026,0.651841469181479,39,-8.81589743589744,1.1780285001215,39,"Tropical"
"150",478.6,488.3,"Tremadocian",-1.42,0.674787003431453,17,-9.54705882352941,0.833199891276715,17,"Tropical"
"151",496,499,"Paibian?",-0.487234042553191,0.850947559125196,47,-7.98574468085106,1.03374949593774,47,"Tropical"
