"Study ID","Effect","Coder","Biblio info",,,,"Selectivity info",,,,,,,,,,,"Odds ratio",,"Log odds ratio",,"Raw numbers",,,,"Multivariate Logistic Regression",,,,"Proportions",,,"Nonparametric Tests",,,,,,,,,"Computing d in designs with indpt groups",,,,,,,,,,,,,,,"Computing d in designs with paired groups",,,,,,,,,,,,,,,"Computing d in designs with indpt groups using ANCOVA",,,,,,,,,,,,,,,,,,,,,,,"Computing r w/ indpt grps",,,,,,,,,"Extinction info",,,,,"Ratio survive/extinct","Notes","Chi Square",,,,,,,"Extinction Rate",,,,,"GLM",,,,,"Mean Species Duration/Longevity",,,,
,"#",,"Full citation","In-text Citation","Year","Type","Phylum","Bivalve/ Gastropod","Taxon","Tax level","Aggregate Trait","Trait","Trait category","Aggregate Age/ Event","Age/ Event","Location","Data source","Odds Ratio","Var Odds Ratio","Log odds ratio","Var Lnor","# Ext","# Surv","Total # Ext","Total # Surv","Genera","Victims","Log-odds","C.I. (95%)","Prop ext","Prop surv","Total # sp","Test","N","mean g. 1","mean g. 2","sd g. 1","sd g. 2","Test Statistic","df","P","Y1","Y2","Spool","n1","n2","t","n1","n2","F","n1","n2","p","1 or 2","n1","n2","Y1","Y2","Sdiff","r","n","t","r","n","F","r","n","p","1 or 2","r","n","Y1","Y2","Spool","n1","n2","R","q","t","n1","n2","R","q","F","n1","n2","R","q","p","1 or 2","n1","n2","R","q","r","n","t","n","t","r","p","1 or 2","r","Magnitude","Era","Duration","Geo scope","Cause",,,"x-square","n","df","p (sur/extinct)","% group a extinct","% group b extinct","p (before/after)","n","per-capita extinct/orig",,,,"coefficient","d.f.","p","Note",,"Test type","Trait Type Species Total ","Mean Duration","p","z"
"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Early Jurassic","Hettangian","South America",,,,,,4,3,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Early Jurassic","Hettangian","South America",,,,,,3,11,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Early Jurassic","Hettangian","South America",,,,,,7,4,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Early Jurassic","Hettangian","South America",,,,,,0,10,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Early Jurassic","Early Sinemurian","South America",,,,,,1,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Early Jurassic","Early Sinemurian","South America",,,,,,1,10,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Early Jurassic","Early Sinemurian","South America",,,,,,2,5,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Early Jurassic","Early Sinemurian","South America",,,,,,0,7,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Early Jurassic","Late Sinemurian","South America",,,,,,5,26,9,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Early Jurassic","Late Sinemurian","South America",,,,,,4,29,9,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Early Jurassic","Late Sinemurian","South America",,,,,,8,18,9,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Early Jurassic","Late Sinemurian","South America",,,,,,1,37,9,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Early Jurassic","Early Pliensbachian","South America",,,,,,2,42,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Early Jurassic","Early Pliensbachian","South America",,,,,,2,33,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Early Jurassic","Early Pliensbachian","South America",,,,,,4,34,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Early Jurassic","Early Pliensbachian","South America",,,,,,0,41,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Early Jurassic","Late Pliensbachian","South America",,,,,,23,28,32,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Early Jurassic","Late Pliensbachian","South America",,,,,,9,33,32,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Early Jurassic","Late Pliensbachian","South America",,,,,,23,19,32,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Early Jurassic","Late Pliensbachian","South America",,,,,,9,42,32,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Early Jurassic","Early Toarcian","South America",,,,,,12,17,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Early Jurassic","Early Toarcian","South America",,,,,,12,19,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Early Jurassic","Early Toarcian","South America",,,,,,14,6,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Early Jurassic","Early Toarcian","South America",,,,,,10,30,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Early Jurassic","Middle Toarcian","South America",,,,,,3,16,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Early Jurassic","Middle Toarcian","South America",,,,,,3,18,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Early Jurassic","Middle Toarcian","South America",,,,,,2,7,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Early Jurassic","Middle Toarcian","South America",,,,,,4,27,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Early Jurassic","Late Toarcian","South America",,,,,,4,14,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Early Jurassic","Late Toarcian","South America",,,,,,2,18,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Early Jurassic","Late Toarcian","South America",,,,,,4,6,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Early Jurassic","Late Toarcian","South America",,,,,,2,26,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",1,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Infaunal","Middle Jurassic","Aalenian","South America",,,,,,"NA",24,"NA",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",2,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Life Habit","Life Habit","Epifaunal","Middle Jurassic","Aalenian","South America",,,,,,"NA",18,"NA",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",3,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Endemic","Middle Jurassic","Aalenian","South America",,,,,,"NA",15,"NA",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Aberhan 2003 SEA",4,"EO","Aberhan, Martin and T.K. Baumiller. 2003. Selective extinction among early Jurassic bivalves: a consequence of anoxia. Geology 31:1077-1080.","Aberhan and Baumiller 2003",2003,"PR","Mollusca","Bivalve","bivalve","species","Geographic Range","Geographic Range","Cosmospolitan","Middle Jurassic","Aalenian","South America",,,,,,"NA",27,"NA",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mz",,,,,"Raw data (saved on computer) also has data for endemic epifuanal/ infuanal and cosmo epi/in",,,,,,,,,,,,,,,,,,,,,,
"Jablonski 1986a CCM",1,"EO","Jablonski, David. 1986. Causes and consequences of mass extinctions: a comparative approach. In: Ellio, D. K., ed., Dynamics of extinction. New York: Wiley.","Jablonski 1986",1986,"in press","Mollusca","Gastropod","gastropod","genera","Species Richness","Species Richness","Species poor","K/T","K/T","Atlantic Coastal Plain","Jablonski database (for Atlantic Coastal Plain)",,,,,47,41,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,,,,"This data was probably included in Jablonski's later global analysis of extinction selectivity in regards to species richness …",,,,,,,,,,,,,,,,,,,,,,
"Jablonski 1986a CCM",2,"EO","Jablonski, David. 1986. Causes and consequences of mass extinctions: a comparative approach. In: Ellio, D. K., ed., Dynamics of extinction. New York: Wiley.","Jablonski 1986",1986,"in press","Mollusca","Gastropod","gastropod","genera","Species Richness","Species Richness","Species rich ","K/T","K/T","Atlantic Coastal Plain","Jablonski database (for Atlantic Coastal Plain)",,,,,48,20,95,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,,,,"This data was probably included in Jablonski's later global analysis of extinction selectivity in regards to species richness …",,,,,,,,,,,,,,,,,,,,,,
"Jablonski 1986a CCM",1,"EO","Jablonski, David. 1986. Causes and consequences of mass extinctions: a comparative approach. In: Ellio, D. K., ed., Dynamics of extinction. New York: Wiley.","Jablonski 1986",1986,"in press","Mollusca","Bivalve","bivalve","genera","Species Richness","Species Richness","Species rich ","K/T","K/T","Atlantic Coastal Plain","Jablonski database (for Atlantic Coastal Plain)",,,,,38,31,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M","Mz",,,,,"This data was probably included in Jablonski's later global analysis of extinction selectivity in regards to species richness …",,,,,,,,,,,,,,,,,,,,,,
