"End..Ma.","Start..Ma.","Bin.name","epoch","period","Collections","del.18O","del.13C","X87Sr.86Sr","del.34S","BC.extinction.rate","BC.extinction.ratePBDB","BC.extinction.rate.max","BC.extinction.ratePBDB.max","mean_d13C.gr","stdev_d13C.gr","d13C_N.gr","mean_d18O.gr","stdev_d18O.gr","d18O_N.gr","sea_level...first.diffs.","sea_level_residuals","mean_d13C.prok","stdev_d13C.prok","N_d13C.prok","mean_d18O.prok","stdev_d18O.prok","N_d18O.prok","mean_d34S.prok","stdev_d34S.prok","N_d34S.prok","mean_87Sr.86Sr.prok","stdev_87Sr.86Sr.prok","N_87Sr.86Sr.prok","Volcanism","Flood_basalt","Bolide","OA"
203.6,216.5,"Norian","Late Triassic","Triassic",286,-2.16445,2.38095,0.707755,18.538,0.136,0.105,0.136,0.105,2.57768292682927,NA,21,-1.88975609756098,NA,21,-1.2035,-21.04950855,3.48,NA,1,-2,NA,1,18.31666667,0.716705425,6,0.707960025,0.000154616,29,1,0,1,0
216.5,228,"Carnian","Late Triassic","Triassic",286,-2.16445,2.38095,0.707755,18.538,0.153,0.073,0.153,0.073,2.57768292682927,NA,21,-1.88975609756098,NA,21,15.3995,-5.644265704,3.053421053,0.683212904,38,-2.543157895,1.068237005,38,18.675,0.75,4,0.707647753,5.41e-05,47,0,0,0,0
228,237,"Ladinian","Middle Triassic","Triassic",152.666666666667,-3.541,1.55756333333333,0.707746666666667,20.3046666666667,0.153,0.073,0.153,0.073,2.41905982905983,NA,26.3333333333333,-2.84965811965812,NA,26.3333333333333,7.904,1.957543675,0.745217391,0.579975466,23,-3.906086957,1.729450094,23,20.83333333,4.574203027,3,0.707710666,6.59e-05,31,1,1,0,0
237,245,"Anisian","Middle Triassic","Triassic",131,-4.03155,0.806695,0.707795,20.9155,0.063,0.049,0.063,0.049,1.88858974358975,0.663279783081562,39,-3.27448717948718,1.34519468002657,39,-11.001,-9.487918073,0.840555556,0.796517953,18,-4.059444444,1.518852013,18,22.3,5.074774215,4,0.707883419,0.000123472,26,0,0,0,0
245,249.7,"Olenekian","Early Triassic","Triassic",389.5,-5.14475,1.20014,0.70786,20.3945,0.106,0.128,0.106,0.128,0.662564102564102,0.502103480946567,21,-5.20961538461539,1.82291843369691,21,-5.364,-15.36442961,0.38,0.113137085,2,-7.53,0.664680374,2,26.35,0.070710678,2,0.708106698,0.000126885,14,0,0,0,0
249.7,251,"Induan","Early Triassic","Triassic",296.5,-4.89225,2.52135,0.707545,18.307,0.075,0.067,0.075,0.067,2.1425,0.686632638049465,16.5,-4.60166666666666,1.40231405325323,16.5,-8.967,-24.8514856,NA,NA,0,NA,NA,0,17.525,4.895150662,4,0.70767952,0.000319734,17,0,0,0,0
251,253.8,"Changhsingian","Lopingian","Permian",296.5,-4.89225,2.52135,0.707545,18.307,0.075,0.067,0.075,0.067,2.1425,0.686632638049465,16.5,-4.60166666666666,1.40231405325323,16.5,-8.967,-24.8514856,3.2365,1.441177424,20,-4.2615,2.124197124,20,NA,NA,0,0.707283194,0.000224576,14,1,1,0,1
253.8,260.4,"Wuchiapingian","Lopingian","Permian",632,-3.62415,4.2287,0.7072,15.5245,0.125,0.134,0.125,0.134,4.19070175438597,1.15835586872142,34,-2.53219298245614,1.32887670413232,34,-8.967,-24.8514856,3.617878788,0.841244456,33,-3.537878788,1.013545009,33,NA,NA,0,0.707206216,0.000206456,21,1,1,0,0
260.4,265.5,"Capitanian","Guadalupian","Permian",632,-3.62415,4.2287,0.7072,15.5245,0.168,0.146,0.168,0.146,4.19070175438597,1.15835586872142,34,-2.53219298245614,1.32887670413232,34,-1.9543,-27.48007046,4.853,0.780223315,20,-2.796,1.268527534,20,11,NA,1,0.7071732,0.000313435,5,1,0,0,0
265.5,268,"Wordian","Guadalupian","Permian",1232,-3.4437,4.9767,0.70715,14.133,0.06,0.056,0.06,0.056,4.67973684210526,1.30460201416475,38,-2.26105263157895,1.86598396545019,38,18.3843,-10.10883492,5.966956522,1.527711999,23,-4.134782609,2.10291112,23,14.1,4.344536799,5,0.707232667,0.000141302,3,0,0,0,0
268,270.6,"Roadian","Guadalupian","Permian",1082,-3.6077,4.51115,0.707115,13.6505,0.06,0.056,0.06,0.056,4.83884163533834,1.26710015336273,75,-1.74916267942584,1.68473885022372,74,18.3843,-10.10883492,3.404615385,1.986322462,13,-3.360769231,0.87565653,13,NA,NA,0,0.707082,NA,1,0,0,0,0
270.6,275.6,"Kungurian","Cisuralian","Permian",932,-3.7717,4.0456,0.70708,13.168,0.06,0.029,0.06,0.029,4.99794642857143,1.22959829256071,112,-1.23727272727273,1.50349373499725,110,18.3843,-10.10883492,4.244634146,1.535286777,41,-3.654634146,2.558893411,41,14.4,1.272792206,2,0.707006872,8.48e-05,9,1,0,0,0
275.6,284.4,"Artinskian","Cisuralian","Permian",1021.5,-3.56285,3.96395,0.707305,12.968,0.018,0.023,0.018,0.023,4.73027918443497,1.22944157216179,123,-1.70774084124831,1.26978569770719,122,9.689,-1.606369158,3.147857143,1.470045413,14,-4.876666667,1.883272458,12,12.58333333,1.08888322,6,0.707169235,0.00016623,48,0,0,0,0
284.4,294.6,"Sakmarian","Cisuralian","Permian",851.5,-2.9009,3.8274,0.707865,12.6745,0.013,0.01,0.013,0.01,4.61421935597602,1.050592601854,130.5,-2.19993124926549,0.951225052389181,130.5,9.689,-1.606369158,3.1425,1.678057976,8,-4.4725,2.017386924,8,NA,NA,0,0.707566333,0.000266031,40,0,0,0,0
294.6,299,"Asselian","Cisuralian","Permian",654.666666666667,-2.70563333333333,3.73416666666667,0.70801,12.691,0.004,0.01,0.004,0.01,4.50676027240507,1.05996997419193,125,-2.20296586208342,0.960708011335196,125,-1.587,-5.220413683,4.311923077,1.039584606,26,-2.680769231,1.988003869,26,12.6,NA,1,0.707962258,0.000148195,22,1,1,0,0
299,303.9,"Gzhelian","Late Pennsylvanian"," Pennsylvanian",451,-2.4965,4.095,0.708256666666667,12.8663333333333,0.004,0.01,0.004,0.01,4.36063585334809,1.0228662106079,242.333333333333,-2.28593599086339,0.884645600276819,242.333333333333,-1.587,-5.220413683,3.698980583,1.035469696,206,-2.596456311,0.910317321,206,12.5,0.141421356,2,0.708201007,8.93e-05,10,0,0,0,0
303.9,306.5,"Kasimovian","Late Pennsylvanian"," Pennsylvanian",500,-2.7266,4.9648,0.70827,13.294,0.022,0,0.022,0,4.02423868312757,1.11797356101076,486,-2.42711934156379,0.807890427241997,486,11.209,3.902802455,3.761917808,1.028486896,219,-2.253881279,0.698272445,219,11.55,0.494974747,2,0.708251706,8.72e-05,17,0,0,0,0
306.5,311.7,"Moscovian","Middle Pennsylvanian"," Pennsylvanian",277.333333333333,-2.70473333333333,4.69566666666667,0.708276666666667,13.924,0.009,0.011,0.009,0.011,4.66676665781672,1.20079715872447,253.333333333333,-2.68407140607471,1.11505413118177,254.333333333333,-3.949,-0.7269661,4.719270759,1.468788351,165,-2.636655701,1.058453032,168,13.325,0.394757309,4,0.708279488,4.45e-05,41,0,0,0,0
311.7,318.1,"Bashkirian","Early Pennsylvanian"," Pennsylvanian",243.666666666667,-3.06526666666667,3.84336666666667,0.708153333333333,14.3623333333333,0.009,0.011,0.009,0.011,4.34451425726802,1.44816832224113,226.333333333333,-2.68819296871479,1.33181830551436,228,-4.235,-8.178339719,4.498000769,1.151715621,108,-2.769581901,2.25325693,107,15.55714286,0.818244346,7,0.708276828,9.65e-05,29,0,0,0,0
318.1,326.4,"Serpukhovian","Late Mississipian","Mississipian",318,-3.3144,3.45475,0.708085,14.7045,0.061,0.058,0.061,0.058,3.97507138590203,1.50323566742954,264.5,-2.45611298248395,1.61893533159492,265.5,-15.835,-25.00764022,2.498823548,1.649285045,107,-3.161441008,1.627006213,109,14.5875,0.944816687,8,0.70802013,0.000159095,31,0,0,0,0
326.4,345.3,"Visean","Middle Mississipian","Mississipian",347.666666666667,-3.96186666666667,2.75716666666667,0.70795,16.7863333333333,0.105,0.156,0.105,0.156,2.82435223768814,1.70511144198167,319.333333333333,-3.38565981702162,1.97027314567637,319.666666666667,12.473,-14.78253624,2.721746413,1.524571885,304,-4.147130825,2.622939841,304,15.25454545,2.273483511,11,0.707842963,0.000184999,196,0,0,0,0
345.3,359.2,"Tournaisian","Early Mississipian","Mississipian",278.666666666667,-4.58803333333333,2.29186666666667,0.708066666666667,19.0576666666667,0.044,0.043,0.044,0.043,2.11811355456057,1.45488957525596,211.333333333333,-4.59015279484793,1.92028218863645,211,10.833,2.213344958,2.743454155,1.760538651,161,-3.787639394,2.046047716,161,19.56666667,1.803699901,3,0.708086662,0.000231644,84,0,0,0,0
359.2,374.5,"Famennian","Late Devonian","Devonian",348,-5.1748,1.56488666666667,0.708176666666667,21.1186666666667,0.133,0.078,0.133,0.078,1.48344068132303,1.34734551585811,224.333333333333,-5.04677176998746,1.56138308620002,224.333333333333,4.955,4.646589036,1.057857143,1.378615401,28,-5.68175,1.799176289,40,NA,NA,0,0.708255904,0.000155352,48,1,1,0,0
374.5,385.3,"Frasnian","Late Devonian","Devonian",503,-5.606,0.914676666666667,0.70807,21.3696666666667,0.12,0.086,0.12,0.086,1.19189486260454,1.03182683083328,193,-4.98690402230187,1.28183728167809,193,5.989,6.881612004,0.858515625,1.490372149,64,-5.998685484,1.571403284,93,24.02,1.999249859,5,0.708108551,7.69e-05,87,1,1,0,0
